tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,35936,7632,8796097,145904,2017-08-01 16:23:56+00:00
892177421306343426,31008,5642,8796097,145904,2017-08-01 00:17:27+00:00
891815181378084864,23329,3740,8796097,145904,2017-07-31 00:18:03+00:00
891689557279858688,39230,7804,8795415,145902,2017-07-30 15:58:51+00:00
891327558926688256,37450,8397,8796097,145904,2017-07-29 16:00:24+00:00
891087950875897856,18876,2815,8796097,145904,2017-07-29 00:08:17+00:00
890971913173991426,10967,1835,8796097,145904,2017-07-28 16:27:12+00:00
890729181411237888,60526,17039,8796097,145904,2017-07-28 00:22:40+00:00
890609185150312448,25972,3880,8796097,145904,2017-07-27 16:25:51+00:00
890240255349198849,29668,6635,8796097,145904,2017-07-26 15:59:51+00:00
890006608113172480,28566,6622,8796097,145904,2017-07-26 00:31:25+00:00
889880896479866881,25996,4500,8796097,145904,2017-07-25 16:11:53+00:00
889665388333682689,44720,9026,8796097,145904,2017-07-25 01:55:32+00:00
889638837579907072,25165,4050,8796097,145904,2017-07-25 00:10:02+00:00
889531135344209921,14113,2039,8796097,145904,2017-07-24 17:02:04+00:00
889278841981685760,23447,4820,8796097,145904,2017-07-24 00:19:32+00:00
888917238123831296,27096,4057,8796097,145904,2017-07-23 00:22:39+00:00
888804989199671297,23803,3826,8796097,145904,2017-07-22 16:56:37+00:00
888554962724278272,18371,3143,8796097,145904,2017-07-22 00:23:06+00:00
888078434458587136,20275,3137,8796097,145904,2017-07-20 16:49:33+00:00
887705289381826560,28172,4878,8796097,145904,2017-07-19 16:06:48+00:00
887517139158093824,43185,10646,8796097,145904,2017-07-19 03:39:09+00:00
887473957103951883,63986,16267,8796097,145904,2017-07-19 00:47:34+00:00
887343217045368832,31343,9471,8796097,145904,2017-07-18 16:08:03+00:00
887101392804085760,28532,5398,8796097,145904,2017-07-18 00:07:08+00:00
886983233522544640,32501,6934,8796097,145904,2017-07-17 16:17:36+00:00
886736880519319552,11152,2905,8796097,145904,2017-07-16 23:58:41+00:00
886680336477933568,20933,4047,8796097,145904,2017-07-16 20:14:00+00:00
886366144734445568,19687,2861,8796097,145904,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8796097,145904,2017-07-15 16:51:35+00:00
886258384151887873,26054,5711,8796097,145904,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8796097,145904,2017-07-15 02:45:48+00:00
885984800019947520,30351,6075,8796097,145904,2017-07-14 22:10:11+00:00
885528943205470208,33456,5779,8796097,145904,2017-07-13 15:58:47+00:00
885518971528720385,19071,3378,8796097,145904,2017-07-13 15:19:09+00:00
885311592912609280,0,16730,8796097,145904,2017-07-13 01:35:06+00:00
885167619883638784,20367,3947,8796097,145904,2017-07-12 16:03:00+00:00
884925521741709313,71676,16339,8796098,145904,2017-07-12 00:01:00+00:00
884876753390489601,25905,5040,8796098,145904,2017-07-11 20:47:12+00:00
884562892145688576,22633,4252,8796098,145904,2017-07-11 00:00:02+00:00
884441805382717440,25250,5148,8796098,145904,2017-07-10 15:58:53+00:00
884247878851493888,67527,18367,8796098,145904,2017-07-10 03:08:17+00:00
884162670584377345,19000,2710,8796098,145904,2017-07-09 21:29:42+00:00
883838122936631299,20350,3100,8796098,145904,2017-07-09 00:00:04+00:00
